* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
1.12793e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.13281e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.1377e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.14258e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.14746e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.15234e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.15723e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.16211e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.16699e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.17187e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.17676e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.18164e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.18652e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.19141e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.19629e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.20117e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.20605e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.21094e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.21582e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.2207e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.22559e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.23047e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.23535e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.24023e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.24512e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.25e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.25488e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.25977e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.26465e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.26953e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.27441e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.2793e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.28418e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.28906e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.29395e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.29883e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.30371e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.30859e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.31348e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.31836e-07 1s 1s 1s 1s 1s 1s 1s 1s
1.32324e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.32812e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.33301e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.33789e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.34277e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.34766e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.35254e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.35742e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.3623e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.36719e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.37207e-07 1s 1s 1s 1s 1s 1s 1s 0s
1.37695e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.38184e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.38672e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.3916e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.39648e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.40137e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.40625e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.41113e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.41602e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.4209e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.42578e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.43066e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.43555e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.44043e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.44531e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.4502e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.45508e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.45996e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.46484e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.46973e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.47461e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.47949e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.48437e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.48926e-07 1s 1s 1s 1s 1s 0s 0s 1s
1.49414e-07 1s 1s 1s 1s 1s 0s 0s 1s
1.49902e-07 1s 1s 1s 1s 1s 0s 0s 1s
1.50391e-07 1s 1s 1s 1s 1s 0s 0s 1s
1.50879e-07 1s 1s 1s 1s 1s 0s 0s 0s
1.51367e-07 1s 1s 1s 1s 1s 0s 0s 0s
